donor_person_id,date,item_name,item_desc,value,material_material_id,donation_id
1001,2020-12-01,3D Printer,Makerlab_ray,4500,1,1
1002,2020-12-02,Desks,2 desks for printers,800,2,2
1003,2020-12-07,3D Printer,Makerlab_promax,6750,3,3
1004,2020-12-07,3D Printer,Makerlab_promax,6750,4,4
1005,2020-11-09,3D Printer,Makerlab_pro,5500,5,5
1006,2020-11-12,3D Printer,Makerlab_pro,5500,6,6
1007,2020-10-07,Computer,desktop,2500,7,7
1008,2020-09-02,TV,For display models,500,8,8
1009,2020-09-09,Computer,desktop,2500,9,9
1010,2020-09-10,Computer,main desktop,3000,10,10
