p_code,equipment_desc,equipment_type,equipment_note
9230139,"pellentesque eget, dictum placerat, augue. Se",Computer,Broken
16439065,"Ut nec urna et",TV,Working
19616151,"dapibus id, blandit at, nisi. Cum sociis nato",3D_Printer,Working
19650086,"Etiam gravida molestie arcu. Sed eu nibh vulp",TV,Working
21968551,"vitae, sodales",Monitor,Working
22388920,"dui, in sodales elit",Printer,Working
24260870,"Sed diam lorem, auctor quis, tristique ac, el",Monitor,Broken
26115857,"sem ut cursus luctus, ipsum leo elementum sem",TV,Working
27710006,"et netus et malesuada fames ac turpis egestas",3D_Printer,Broken
29522271,"tortor, dictum eu,",3D_Printer,Working
31703563,varius,Computer,Working
34723787,"lacus. Quisque imperdiet, erat nonummy",3D_Printer,Working
40739355,"at, iaculis quis, pede. Praesent eu dui. Cum",3D_Printer,Working
